full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,92449,92449,12398,3082,3082,1894,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,127400,127400,17598,1673,1673,640,https://github.com/affaan-m/everything-claude-code
Kuberwastaken/claude-code,3804,3804,5082,1734,1734,1602,https://github.com/Kuberwastaken/claude-code
claude-code-best/claude-code,2679,2679,3702,1995,1995,2665,https://github.com/claude-code-best/claude-code
shareAI-lab/learn-claude-code,45391,45391,7059,385,385,144,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,5389,5389,9666,1323,1323,2421,https://github.com/ChinaSiro/claude-code-sourcemap
jarmuine/claude-code,677,677,2636,300,300,1111,https://github.com/jarmuine/claude-code
sanbuphy/claude-code-source-code,6216,6216,12250,3249,3249,6348,https://github.com/sanbuphy/claude-code-source-code
hesreallyhim/awesome-claude-code,35116,35116,2607,116,116,39,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30893,30893,2396,31,31,7,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23936,23936,2323,28,28,7,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,28875,28875,2441,677,677,88,https://github.com/shanraisshan/claude-code-best-practice
pengchengneo/Claude-Code,547,547,1161,132,132,355,https://github.com/pengchengneo/Claude-Code
instructkr/claw-code,69054,69054,70107,22490,22490,14959,https://github.com/instructkr/claw-code
VoltAgent/awesome-claude-code-subagents,15831,15831,1782,37,37,9,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6778,6778,1625,8,8,2,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,7574,7574,1225,227,227,153,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9385,9385,1200,3,3,0,https://github.com/diet103/claude-code-infrastructure-showcase
oboard/claude-code-rev,1227,1227,1870,433,433,658,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,7672,7672,1129,23,23,8,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8315,8315,606,5,5,3,https://github.com/frankbria/ralph-claude-code
Onewon/claude-code,74,74,941,19,19,431,https://github.com/Onewon/claude-code
tanbiralam/claude-code,245,245,424,80,80,129,https://github.com/tanbiralam/claude-code
ponponon/claude_code_src,637,637,1355,410,410,922,https://github.com/ponponon/claude_code_src
ykdojo/claude-code-tips,7000,7000,483,9,9,2,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5652,5652,499,3,3,1,https://github.com/ChrisWiles/claude-code-showcase
